               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-05-31 20:46:51 |   200 |     1.000e-04 |     0.8611 |          1.1096 |       2.2415 |            0.6628 |            2967
2022-05-31 20:50:09 |   201 |     1.000e-04 |     0.8473 |          0.9062 |       1.2049 |            0.6668 |            2967
2022-05-31 20:53:29 |   202 |     1.000e-04 |     0.8544 |          1.1014 |       2.1191 |            0.6767 |            2967
2022-05-31 20:56:46 |   203 |     1.000e-04 |     0.8489 |          0.9467 |       1.3843 |            0.6721 |            2967
2022-05-31 21:00:04 |   204 |     1.000e-04 |     0.8482 |          1.0570 |       1.9038 |            0.6744 |            2967
2022-05-31 21:03:21 |   205 |     1.000e-04 |     0.8553 |          1.0905 |       2.0984 |            0.6719 |            2967
2022-05-31 21:06:38 |   206 |     1.000e-04 |     0.8593 |          0.9602 |       1.4054 |            0.6819 |            2967
2022-05-31 21:09:58 |   207 |     1.000e-04 |     0.8482 |          0.9596 |       1.4710 |            0.6665 |            2967
2022-05-31 21:13:15 |   208 |     1.000e-04 |     0.8468 |          0.9601 |       1.4736 |            0.6675 |            2967
2022-05-31 21:16:32 |   209 |     1.000e-04 |     0.8448 |          0.9660 |       1.3187 |            0.7045 |            2967
2022-05-31 21:19:50 |   210 |     1.000e-04 |     0.8453 |          0.9099 |       1.2368 |            0.6640 |            2967
2022-05-31 21:23:07 |   211 |     1.000e-04 |     0.8439 |          0.9106 |       1.2502 |            0.6618 |            2967
2022-05-31 21:26:24 |   212 |     1.000e-04 |     0.8384 |          0.9573 |       1.5168 |            0.6546 |            2967
2022-05-31 21:29:41 |   213 |     1.000e-04 |     0.8466 |          0.9100 |       1.2028 |            0.6722 |            2967
2022-05-31 21:33:01 |   214 |     1.000e-04 |     0.8530 |          0.9628 |       1.4488 |            0.6749 |            2967
2022-05-31 21:36:19 |   215 |     1.000e-04 |     0.8462 |          0.9144 |       1.2386 |            0.6684 |            2967
2022-05-31 21:39:37 |   216 |     1.000e-04 |     0.8386 |          0.9563 |       1.2930 |            0.6983 |            2967
2022-05-31 21:42:55 |   217 |     1.000e-04 |     0.8459 |          0.9480 |       1.2614 |            0.6963 |            2967
2022-05-31 21:46:14 |   218 |     1.000e-04 |     0.8369 |          0.9164 |       1.2073 |            0.6760 |            2967
2022-05-31 21:49:34 |   219 |     1.000e-04 |     0.8377 |          0.9781 |       1.4947 |            0.6808 |            2967
2022-05-31 21:52:52 |   220 |     1.000e-04 |     0.8490 |          0.9797 |       1.4532 |            0.6907 |            2967
2022-05-31 21:56:09 |   221 |     1.000e-04 |     0.8328 |          0.9296 |       1.3117 |            0.6680 |            2967
2022-05-31 21:59:27 |   222 |     1.000e-04 |     0.8407 |          0.9125 |       1.1779 |            0.6795 |            2967
2022-05-31 22:02:47 |   223 |     1.000e-04 |     0.8337 |          0.9477 |       1.4292 |            0.6639 |            2967
2022-05-31 22:06:05 |   224 |     1.000e-04 |     0.8373 |          0.9043 |       1.1944 |            0.6675 |            2967
2022-05-31 22:09:22 |   225 |     1.000e-04 |     0.8336 |          0.8777 |       1.1223 |            0.6537 |            2967
2022-05-31 22:12:40 |   226 |     1.000e-04 |     0.8330 |          0.9050 |       1.2083 |            0.6640 |            2967
2022-05-31 22:15:58 |   227 |     1.000e-04 |     0.8271 |          0.8933 |       1.1191 |            0.6716 |            2967
2022-05-31 22:19:17 |   228 |     1.000e-04 |     0.8348 |          0.9733 |       1.5903 |            0.6563 |            2967
