               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | MAE_energy_0_grad | MAE_energy_1_grad | GPU Memory (MB)
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 18:04:37 |   102 |     1.000e-04 |     0.8619 |          1.1059 |                      0.9164 |       1.7678 |       1.7571 |            1589
2022-06-20 18:06:36 |   103 |     1.000e-04 |     0.8887 |          1.1310 |                      0.9447 |       1.7044 |       1.8000 |            1589
2022-06-20 18:08:35 |   104 |     1.000e-04 |     0.8510 |          1.1244 |                      0.9520 |       1.6241 |       1.6716 |            1589
2022-06-20 18:10:33 |   105 |     1.000e-04 |     0.8658 |          1.1102 |                      0.9043 |       1.9112 |       2.0198 |            1589
2022-06-20 18:12:32 |   106 |     1.000e-04 |     0.8530 |          1.1373 |                      0.9607 |       1.6096 |       1.6869 |            1589
2022-06-20 18:14:31 |   107 |     1.000e-04 |     0.8698 |          1.1939 |                      0.9621 |       2.3647 |       2.1362 |            1589
2022-06-20 18:16:29 |   108 |     1.000e-04 |     0.8455 |          1.0796 |                      0.9053 |       1.6708 |       1.6500 |            1589
2022-06-20 18:18:29 |   109 |     1.000e-04 |     0.8525 |          1.1166 |                      0.9314 |       1.7601 |       1.8149 |            1589
2022-06-20 18:20:28 |   110 |     1.000e-04 |     0.8443 |          1.1183 |                      0.9376 |       1.7078 |       1.7413 |            1589
2022-06-20 18:22:26 |   111 |     1.000e-04 |     0.8515 |          1.3370 |                      1.1437 |       1.6733 |       1.9690 |            1589
2022-06-20 18:24:25 |   112 |     1.000e-04 |     0.8452 |          1.1293 |                      0.9383 |       1.7582 |       1.8860 |            1589
2022-06-20 18:26:23 |   113 |     1.000e-04 |     0.8487 |          1.1025 |                      0.9293 |       1.6703 |       1.6679 |            1589
2022-06-20 18:28:22 |   114 |     1.000e-04 |     0.8276 |          1.1789 |                      0.9766 |       1.9454 |       1.9648 |            1589
2022-06-20 18:30:21 |   115 |     1.000e-04 |     0.8456 |          1.2185 |                      1.0386 |       1.7844 |       1.7442 |            1589
2022-06-20 18:32:19 |   116 |     1.000e-04 |     0.8203 |          1.1299 |                      0.9099 |       2.0708 |       2.1333 |            1589
2022-06-20 18:34:18 |   117 |     1.000e-04 |     0.8252 |          1.1456 |                      0.9450 |       1.9595 |       1.9124 |            1589
2022-06-20 18:36:17 |   118 |     1.000e-04 |     0.8226 |          1.1586 |                      0.9733 |       1.6926 |       1.8632 |            1589
2022-06-20 18:38:16 |   119 |     1.000e-04 |     0.8224 |          1.1880 |                      1.0041 |       1.7597 |       1.6788 |            1589
2022-06-20 18:40:15 |   120 |     1.000e-04 |     0.8140 |          1.1760 |                      0.9897 |       1.8244 |       1.7714 |            1589
2022-06-20 18:42:14 |   121 |     1.000e-04 |     0.8188 |          1.1814 |                      1.0011 |       1.7655 |       1.7309 |            1589
2022-06-20 18:44:13 |   122 |     1.000e-04 |     0.8118 |          1.1922 |                      0.9377 |       2.4218 |       2.4625 |            1589
2022-06-20 18:46:11 |   123 |     1.000e-04 |     0.8086 |          1.1256 |                      0.9363 |       1.7391 |       1.8005 |            1589
2022-06-20 18:48:09 |   124 |     1.000e-04 |     0.8026 |          1.0966 |                      0.9018 |       1.8944 |       1.8011 |            1589
2022-06-20 18:50:09 |   125 |     1.000e-04 |     0.8039 |          1.1010 |                      0.9159 |       1.8021 |       1.8142 |            1589
2022-06-20 18:52:08 |   126 |     1.000e-04 |     0.7887 |          1.1845 |                      1.0086 |       1.6327 |       1.7496 |            1589
2022-06-20 18:54:07 |   127 |     1.000e-04 |     0.8070 |          1.1857 |                      1.0081 |       1.7400 |       1.6352 |            1589
2022-06-20 18:56:06 |   128 |     1.000e-04 |     0.8036 |          1.1651 |                      0.9836 |       1.6756 |       1.7648 |            1589
2022-06-20 18:58:04 |   129 |     1.000e-04 |     0.8025 |          1.1345 |                      0.9285 |       2.0262 |       1.9008 |            1589
2022-06-20 19:00:03 |   130 |     1.000e-04 |     0.8092 |          1.1154 |                      0.9073 |       1.8773 |       1.9658 |            1589
2022-06-20 19:02:02 |   131 |     1.000e-04 |     0.7866 |          1.1341 |                      0.9348 |       1.9057 |       1.9259 |            1589
2022-06-20 19:04:00 |   132 |     1.000e-04 |     0.7903 |          1.1954 |                      1.0003 |       1.9006 |       1.8389 |            1589
2022-06-20 19:05:59 |   133 |     1.000e-04 |     0.7922 |          1.2740 |                      1.0914 |       1.8390 |       1.6675 |            1589
2022-06-20 19:07:59 |   134 |     1.000e-04 |     0.7868 |          1.2469 |                      1.0630 |       1.7607 |       1.7415 |            1589
2022-06-20 19:09:58 |   135 |     1.000e-04 |     0.7865 |          1.1527 |                      0.9584 |       1.8730 |       1.8362 |            1589
2022-06-20 19:11:57 |   136 |     1.000e-04 |     0.7869 |          1.0819 |                      0.8926 |       1.7374 |       1.7368 |            1589
